,publishedAt,authorDisplayName,textDisplay,likeCount,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized
18,2024-08-31T09:38:36Z,@AdiSetiawanSetiawan-v5u,kuntilanak cowok mungkin maksudnya kuntilanak lgbt,0,"['kuntilanak', 'cowok', 'mungkin', 'maksudnya', 'kuntilanak', 'lgbt']",<FreqDist with 5 samples and 6 outcomes>,"['kuntilanak', 'cowok', 'maksudnya', 'kuntilanak', 'lgbt']","['kuntilanak', 'cowok', 'maksudnya', 'kuntilanak', 'lgbt']"
19,2024-08-31T02:58:11Z,@user-ne9ok8xn9s,pocong cewek,0,"['pocong', 'cewek']",<FreqDist with 2 samples and 2 outcomes>,"['pocong', 'cewek']","['pocong', 'cewek']"
20,2024-08-31T00:44:11Z,@monicapetra8574,habis ini colab ama axel ka lucu jg dia anaknya,0,"['habis', 'ini', 'colab', 'ama', 'axel', 'ka', 'lucu', 'jg', 'dia', 'anaknya']",<FreqDist with 10 samples and 10 outcomes>,"['habis', 'colab', 'ama', 'axel', 'ka', 'lucu', 'jg', 'anaknya']","['habis', 'colab', 'dengan', 'axel', 'kakak', 'lucu', 'juga', 'anaknya']"
21,2024-08-30T12:04:57Z,@Wiradhisastra,di buka coba mata bathin nyabiar mba nessie liat sperti apa dan bagaimana quotmerekaquot berwujud amp berinteraksi,0,"['di', 'buka', 'coba', 'mata', 'bathin', 'nyabiar', 'mba', 'nessie', 'liat', 'sperti', 'apa', 'dan', 'bagaimana', 'quotmerekaquot', 'berwujud', 'amp', 'berinteraksi']",<FreqDist with 17 samples and 17 outcomes>,"['buka', 'coba', 'mata', 'bathin', 'nyabiar', 'mba', 'nessie', 'liat', 'sperti', 'quotmerekaquot', 'berwujud', 'amp', 'berinteraksi']","['buka', 'coba', 'mata', 'batin', 'nya biar', 'kakak', 'nessie', 'lihat', 'seperti ', 'mereka', 'berwujud', 'sampai', 'berinteraksi']"
22,2024-08-30T09:26:52Z,@vitavita3010,ada kutilanak cowo sumpah  rmh tmn ku itu kn pinggir sma blakang rmhny itu pepohonan smuakn dn itu ppohonanny pda gedequot skitar jm pgi mma tmn ku itu lgi nyapu pinggir rmhny yng bnyak ppohonan itu dia nyapu jm sgitu jga krna ya dia puny bayi nh tnpa di sengaja  situ mmahny liat kuntilanak cowo yng emng klo yng bisa liat  dkt rmhny itu sarangny,0,"['ada', 'kutilanak', 'cowo', 'sumpah', 'rmh', 'tmn', 'ku', 'itu', 'kn', 'pinggir', 'sma', 'blakang', 'rmhny', 'itu', 'pepohonan', 'smuakn', 'dn', 'itu', 'ppohonanny', 'pda', 'gedequot', 'skitar', 'jm', 'pgi', 'mma', 'tmn', 'ku', 'itu', 'lgi', 'nyapu', 'pinggir', 'rmhny', 'yng', 'bnyak', 'ppohonan', 'itu', 'dia', 'nyapu', 'jm', 'sgitu', 'jga', 'krna', 'ya', 'dia', 'puny', 'bayi', 'nh', 'tnpa', 'di', 'sengaja', 'situ', 'mmahny', 'liat', 'kuntilanak', 'cowo', 'yng', 'emng', 'klo', 'yng', 'bisa', 'liat', 'dkt', 'rmhny', 'itu', 'sarangny']",<FreqDist with 48 samples and 65 outcomes>,"['kutilanak', 'cowo', 'sumpah', 'rmh', 'tmn', 'ku', 'kn', 'pinggir', 'sma', 'blakang', 'rmhny', 'pepohonan', 'smuakn', 'dn', 'ppohonanny', 'pda', 'gedequot', 'skitar', 'jm', 'pgi', 'mma', 'tmn', 'ku', 'lgi', 'nyapu', 'pinggir', 'rmhny', 'yng', 'bnyak', 'ppohonan', 'nyapu', 'jm', 'sgitu', 'jga', 'krna', 'ya', 'puny', 'bayi', 'nh', 'tnpa', 'sengaja', 'situ', 'mmahny', 'liat', 'kuntilanak', 'cowo', 'yng', 'emng', 'klo', 'yng', 'liat', 'dkt', 'rmhny', 'sarangny']","['kutilanak', 'cowok', 'sumpah', 'rumah', 'temen', 'aku', 'kan', 'pinggir', 'dengan', 'belakang', 'rumahnya', 'pepohonan', 'semua', 'dan', 'pepohonan', 'pada', 'besar', 'sekita', 'jam', 'pagi', 'mma', 'temen', 'aku', 'lagi', 'menyapu', 'pinggir', 'rumahnya', 'yang', 'bnyak', 'ppohonan', 'menyapu', 'jam', 'segitu', 'jga', 'karena', 'ya', 'puny', 'bayi', 'nah', 'tanpa', 'sengaja', 'sana', 'mamanya', 'lihat', 'kuntilanak', 'cowok', 'yang', 'emng', 'klo', 'yang', 'lihat', 'dkt', 'rumahnya', 'sarangnya']"
23,2024-08-30T04:49:05Z,@ninasulist1194,btw kuyang bukan hantu hehebrkuyang itu seseorang yg punya ilmu hitam buat awet muda atau maksud laennya kalo siang kaya kita hidup manusia pada umumnya kalo malam baru cari mangsa bisa janin dalam kandunganmakanya ibu dikalimantan paling ga bisa ditanyai org asing soal usia kandungan,0,"['btw', 'kuyang', 'bukan', 'hantu', 'hehebrkuyang', 'itu', 'seseorang', 'yg', 'punya', 'ilmu', 'hitam', 'buat', 'awet', 'muda', 'atau', 'maksud', 'laennya', 'kalo', 'siang', 'kaya', 'kita', 'hidup', 'manusia', 'pada', 'umumnya', 'kalo', 'malam', 'baru', 'cari', 'mangsa', 'bisa', 'janin', 'dalam', 'kandunganmakanya', 'ibu', 'dikalimantan', 'paling', 'ga', 'bisa', 'ditanyai', 'org', 'asing', 'soal', 'usia', 'kandungan']",<FreqDist with 43 samples and 45 outcomes>,"['btw', 'kuyang', 'hantu', 'hehebrkuyang', 'ilmu', 'hitam', 'awet', 'muda', 'maksud', 'laennya', 'kalo', 'siang', 'kaya', 'hidup', 'manusia', 'kalo', 'malam', 'cari', 'mangsa', 'janin', 'kandunganmakanya', 'dikalimantan', 'org', 'asing', 'usia', 'kandungan']","['btw', 'kuyang', 'hantu', 'hehebrkuyang', 'ilmu', 'hitam', 'awet', 'muda', 'maksud', 'lainnya', 'jika', 'siang', 'seperti', 'hidup', 'manusia', 'jika', 'malam', 'cari', 'mangsa', 'janin', 'kandungan sehingga', 'dikalimantan', 'orang', 'asing', 'usia', 'kandungan']"
24,2024-08-30T04:29:35Z,@user-rz1st3lj5d,kata lucu kuntilanak cowok hahahah ngakak sih sumpah sandy lu benar benar mencairkan suasana ya yg tadinya horor jadi komedy pliss gw langsung searching buat cari tu kunti cowok,0,"['kata', 'lucu', 'kuntilanak', 'cowok', 'hahahah', 'ngakak', 'sih', 'sumpah', 'sandy', 'lu', 'benar', 'benar', 'mencairkan', 'suasana', 'ya', 'yg', 'tadinya', 'horor', 'jadi', 'komedy', 'pliss', 'gw', 'langsung', 'searching', 'buat', 'cari', 'tu', 'kunti', 'cowok']",<FreqDist with 27 samples and 29 outcomes>,"['lucu', 'kuntilanak', 'cowok', 'hahahah', 'ngakak', 'sih', 'sumpah', 'sandy', 'lu', 'mencairkan', 'suasana', 'ya', 'horor', 'komedy', 'pliss', 'gw', 'langsung', 'searching', 'cari', 'tu', 'kunti', 'cowok']","['lucu', 'kuntilanak', 'cowok', 'hahahah', 'ngakak', 'sih', 'sumpah', 'sandy', 'lu', 'mencairkan', 'suasana', 'ya', 'horor', 'komedi', 'tolong', 'aku', 'langsung', 'searching', 'cari', 'itu', 'kuntilanak', 'cowok']"
25,2024-08-29T14:33:47Z,@farizbudisetyawan7299,kak nessie ada masukan untuk audio masih menggema dan audionya ga dapet deepnya masih tajem audionya mungkin ruangannya kurang kedap,0,"['kak', 'nessie', 'ada', 'masukan', 'untuk', 'audio', 'masih', 'menggema', 'dan', 'audionya', 'ga', 'dapet', 'deepnya', 'masih', 'tajem', 'audionya', 'mungkin', 'ruangannya', 'kurang', 'kedap']",<FreqDist with 18 samples and 20 outcomes>,"['kak', 'nessie', 'masukan', 'audio', 'menggema', 'audionya', 'dapet', 'deepnya', 'tajem', 'audionya', 'ruangannya', 'kedap']","['kakak', 'nessie', 'masukan', 'audio', 'menggema', 'audionya', 'dapet', 'deepnya', 'tajam', 'audionya', 'ruangannya', 'kedap']"
26,2024-08-29T12:21:43Z,@ralisha_rayfa,nerror jadi lucu banget astaga hahah,0,"['nerror', 'jadi', 'lucu', 'banget', 'astaga', 'hahah']",<FreqDist with 6 samples and 6 outcomes>,"['nerror', 'lucu', 'astaga', 'hahah']","['nerror', 'lucu', 'astaga', 'haha']"
27,2024-08-29T06:41:26Z,@user-yx9qg2hk1b,di kampus aku juga kaya cerita yang pertama gitu menjelang hampir maghrib di kelas lantai juga ada suara cewe nangis dan sekelas denger suaranya waktu dicariin sumber suara dimana juga berhenti dan gada siapapun di luar maupun samping kelas kata dosen juga udah biasa hal ky gtu karena sudah hampir maghrib gitu,0,"['di', 'kampus', 'aku', 'juga', 'kaya', 'cerita', 'yang', 'pertama', 'gitu', 'menjelang', 'hampir', 'maghrib', 'di', 'kelas', 'lantai', 'juga', 'ada', 'suara', 'cewe', 'nangis', 'dan', 'sekelas', 'denger', 'suaranya', 'waktu', 'dicariin', 'sumber', 'suara', 'dimana', 'juga', 'berhenti', 'dan', 'gada', 'siapapun', 'di', 'luar', 'maupun', 'samping', 'kelas', 'kata', 'dosen', 'juga', 'udah', 'biasa', 'hal', 'ky', 'gtu', 'karena', 'sudah', 'hampir', 'maghrib', 'gitu']",<FreqDist with 41 samples and 52 outcomes>,"['kampus', 'kaya', 'cerita', 'gitu', 'menjelang', 'maghrib', 'kelas', 'lantai', 'suara', 'cewe', 'nangis', 'sekelas', 'denger', 'suaranya', 'dicariin', 'sumber', 'suara', 'dimana', 'berhenti', 'gada', 'samping', 'kelas', 'dosen', 'udah', 'ky', 'gtu', 'maghrib', 'gitu']","['kampus', 'seperti', 'cerita', 'gitu', 'menjelang', 'maghrib', 'kelas', 'lantai', 'suara', 'cewek', 'nangis', 'sekelas', 'dengar', 'suaranya', 'dicariin', 'sumber', 'suara', 'dimana', 'berhenti', 'tidak ada', 'samping', 'kelas', 'dosen', 'udah', 'seperti', 'itu', 'maghrib', 'gitu']"
28,2024-08-28T16:31:50Z,@najeffrey2180,harusnya satuin sama maxwell biar gajadi serem,0,"['harusnya', 'satuin', 'sama', 'maxwell', 'biar', 'gajadi', 'serem']",<FreqDist with 7 samples and 7 outcomes>,"['satuin', 'maxwell', 'biar', 'gajadi', 'serem']","['satuin', 'maxwell', 'biar', 'tidak menjadi', 'serem']"
29,2024-08-28T13:09:58Z,@Loganapp, kebayang klo kesurupan tikus dehh,0,"['kebayang', 'klo', 'kesurupan', 'tikus', 'dehh']",<FreqDist with 5 samples and 5 outcomes>,"['kebayang', 'klo', 'kesurupan', 'tikus', 'dehh']","['kebayang', 'klo', 'kesurupan', 'tikus', 'deh']"
30,2024-08-28T11:03:31Z,@evarrachel,aku nonton konten ka nessie biasanya kalo yg kasus aja ngga mau yg horror tp karna ada sandy aku memaksakan,0,"['aku', 'nonton', 'konten', 'ka', 'nessie', 'biasanya', 'kalo', 'yg', 'kasus', 'aja', 'ngga', 'mau', 'yg', 'horror', 'tp', 'karna', 'ada', 'sandy', 'aku', 'memaksakan']",<FreqDist with 18 samples and 20 outcomes>,"['nonton', 'konten', 'ka', 'nessie', 'kalo', 'aja', 'ngga', 'horror', 'tp', 'karna', 'sandy', 'memaksakan']","['nonton', 'konten', 'kakak', 'nessie', 'jika', 'aja', 'ngga', 'horror', 'tapi', 'karna', 'sandy', 'memaksakan']"
31,2024-08-28T07:34:51Z,@BismillahBisa-g6k,aku awalnya juga ngga percaya ada yang nama nya kesurupan massal kak tapi itu nyata yang aku liat sendiri di sekolahku salah satu temenku kena kerasukan kami dari madrasah atau sekolah islam jadi kami coba bacain ayat ayat itu ngga mempan kak malah ikutan dia serem kali kalo di inget kata guruku yang basic nya ustadz jugaa jangan diajak cerita atau dibaca baca itu setan nya lagi nyari perhatian aja katanya lumayan kocak omongan dari guruku tapi yaa gitu ada bener temenku sadar sendiri oiyaaa katanya temenku bisa dirasuki itu karena bapaknya ada benda pusaka gitu yang disimpan,0,"['aku', 'awalnya', 'juga', 'ngga', 'percaya', 'ada', 'yang', 'nama', 'nya', 'kesurupan', 'massal', 'kak', 'tapi', 'itu', 'nyata', 'yang', 'aku', 'liat', 'sendiri', 'di', 'sekolahku', 'salah', 'satu', 'temenku', 'kena', 'kerasukan', 'kami', 'dari', 'madrasah', 'atau', 'sekolah', 'islam', 'jadi', 'kami', 'coba', 'bacain', 'ayat', 'ayat', 'itu', 'ngga', 'mempan', 'kak', 'malah', 'ikutan', 'dia', 'serem', 'kali', 'kalo', 'di', 'inget', 'kata', 'guruku', 'yang', 'basic', 'nya', 'ustadz', 'jugaa', 'jangan', 'diajak', 'cerita', 'atau', 'dibaca', 'baca', 'itu', 'setan', 'nya', 'lagi', 'nyari', 'perhatian', 'aja', 'katanya', 'lumayan', 'kocak', 'omongan', 'dari', 'guruku', 'tapi', 'yaa', 'gitu', 'ada', 'bener', 'temenku', 'sadar', 'sendiri', 'oiyaaa', 'katanya', 'temenku', 'bisa', 'dirasuki', 'itu', 'karena', 'bapaknya', 'ada', 'benda', 'pusaka', 'gitu', 'yang', 'disimpan']",<FreqDist with 73 samples and 98 outcomes>,"['ngga', 'percaya', 'nama', 'kesurupan', 'massal', 'kak', 'nyata', 'liat', 'sekolahku', 'salah', 'temenku', 'kena', 'kerasukan', 'madrasah', 'sekolah', 'islam', 'coba', 'bacain', 'ayat', 'ayat', 'ngga', 'mempan', 'kak', 'ikutan', 'serem', 'kali', 'kalo', 'inget', 'guruku', 'basic', 'ustadz', 'jugaa', 'diajak', 'cerita', 'dibaca', 'baca', 'setan', 'nyari', 'perhatian', 'aja', 'lumayan', 'kocak', 'omongan', 'guruku', 'yaa', 'gitu', 'bener', 'temenku', 'sadar', 'oiyaaa', 'temenku', 'dirasuki', 'bapaknya', 'benda', 'pusaka', 'gitu', 'disimpan']","['ngga', 'percaya', 'dengan', 'kesurupan', 'masal', 'kakak', 'nyata', 'lihat', 'sekolahku', 'salah', 'temenku', 'kena', 'kerasukan', 'madrasah', 'sekolah', 'islam', 'coba', 'bacain', 'ayat', 'ayat', 'ngga', 'mempan', 'kakak', 'ikutan', 'serem', 'sekali', 'jika', 'inget', 'guruku', 'besik', 'ustadz', 'juga', 'diajak', 'cerita', 'dibaca', 'baca', 'setan', 'mencari', 'perhatian', 'aja', 'lumayan', 'kocak', 'omongan', 'guruku', 'yaa', 'gitu', 'bener', 'temenku', 'sadar', 'oh iya', 'temenku', 'dirasuki', 'bapaknya', 'benda', 'pusaka', 'gitu', 'disimpan']"
32,2024-08-28T04:01:45Z,@alifhusaini3054,eh seohana bjirr nyempill ngapain,0,"['eh', 'seohana', 'bjirr', 'nyempill', 'ngapain']",<FreqDist with 5 samples and 5 outcomes>,"['eh', 'seohana', 'bjirr', 'nyempill', 'ngapain']","[nan, 'seohana', nan, 'nyempill', 'sedang apa']"
33,2024-08-26T11:26:15Z,@risdayuliana8559,ganteng bgtt sayang,0,"['ganteng', 'bgtt', 'sayang']",<FreqDist with 3 samples and 3 outcomes>,"['ganteng', 'bgtt', 'sayang']","['ganteng', 'banget', 'sayang']"
34,2024-08-26T10:59:35Z,@emmawstn5483,hahahaha bisa bisanya kepikiran inkigayo,0,"['hahahaha', 'bisa', 'bisanya', 'kepikiran', 'inkigayo']",<FreqDist with 5 samples and 5 outcomes>,"['hahahaha', 'bisanya', 'kepikiran', 'inkigayo']","['haha', 'bisanya', 'kepikiran', 'inkigayo']"
